date,close_spy,volume_spy,close_vix,log_return,lag_return,volatility_30d,volume_z_30d,target_next_return,headlines_count,sentiment_mean,sentiment_median,sentiment_min,sentiment_max,sentiment_mean_lag1,headlines_count_lag1,sentiment_mean_lag2,sentiment_mean_lag3,headlines_count_lag2,headlines_count_lag3
2025-06-23,600.1500244140625,87426000,19.829999923706055,0.009829026584036171,-0.0053032263725523165,0.009343138306468638,1.1428274905704416,0.010986670773378115,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-06-24,606.780029296875,67735300,17.479999542236328,0.010986670773378115,0.009829026584036171,0.009461999387018782,-0.5273185095108355,0.0005601216284096822,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-06-25,607.1199951171875,62114800,16.760000228881836,0.0005601216284096822,0.010986670773378115,0.0075657901301419426,-0.9669922386578153,0.007793376614487535,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-06-26,611.8699951171875,78548400,16.59000015258789,0.007793376614487535,0.0005601216284096822,0.007597825348996554,0.45224381475636316,0.004956038292762699,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-06-27,614.9099731445312,86258400,16.31999969482422,0.004956038292762699,0.007793376614487535,0.00762554183807761,1.0597621334267513,0.004769798075327181,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-06-30,617.8499755859375,92502500,16.729999542236328,0.004769798075327181,0.004956038292762699,0.0076240060045635735,1.4819043299690524,-0.0003236765254888141,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-07-01,617.6500244140625,70030100,16.829999923706055,-0.0003236765254888141,0.004769798075327181,0.00757598910800212,-0.3813667226794672,0.0045230473849446895,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-07-02,620.4500122070312,66510400,16.639999389648438,0.0045230473849446895,-0.0003236765254888141,0.007598759223931337,-0.6687262806359088,0.007850503872321113,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-07-03,625.3400268554688,51065800,16.3799991607666,0.007850503872321113,0.0045230473849446895,0.007631768955807083,-1.8513964727624903,-0.0074799053524596815,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-07-07,620.6799926757812,74814500,17.790000915527344,-0.0074799053524596815,0.007850503872321113,0.006995942435180167,0.10703709865212839,-0.0005478812967822932,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
